arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
piccolo/query/methods/exists.py,4,1.0,1,4,A,Exists,__init__,16
piccolo/query/methods/count.py,5,1.0,1,5,A,Count,__init__,21
piccolo/columns/indexes.py,2,1.0,1,2,A,IndexMethod,__str__,15
piccolo/columns/defaults/interval.py,7,1.0,1,7,A,IntervalCustom,__init__,12
piccolo/columns/defaults/uuid.py,8,1.0,1,8,A,UUID4,postgres,21
piccolo/columns/defaults/time.py,15,1.0,1,15,A,TimeOffset,__init__,12
piccolo/columns/defaults/date.py,15,1.0,1,15,A,DateOffset,__init__,27
piccolo/columns/defaults/timestamp.py,16,1.0,1,16,A,TimestampOffset,__init__,12
piccolo/utils/naming.py,2,1.0,1,2,A,,_camel_to_snake,4
piccolo/utils/uuid.py,1,1.0,1,1,A,,uuid7,1
piccolo/utils/warnings.py,2,1.0,1,2,A,,colored_string,17
piccolo/engine/finder.py,1,1.0,1,1,A,,engine_finder,8
piccolo/apps/meta/commands/version.py,1,1.0,1,1,A,,version,4
piccolo/apps/user/piccolo_migrations/2019-11-14T21-52-21.py,1,1.0,1,1,A,,forwards,6
piccolo/apps/user/piccolo_migrations/2021-04-30T16-14-15.py,1,1.0,1,1,A,,forwards,9
piccolo/apps/user/piccolo_migrations/2020-06-11T21-38-55.py,1,1.0,1,1,A,,forwards,6
piccolo/columns/defaults/timestamptz.py,7,1.14,2,8,A,TimestamptzCustom,from_datetime,62
piccolo/engine/base.py,29,1.17,4,34,A,Engine,check_version,154
piccolo/query/proxy.py,9,1.22,2,11,A,Proxy,__getattr__,46
piccolo/testing/random_builder.py,13,1.23,2,16,A,RandomBuilder,next_datetime,28
piccolo/query/methods/indexes.py,4,1.25,2,5,A,Indexes,response_handler,33
piccolo/query/methods/table_exists.py,4,1.25,2,5,A,TableExists,postgres_querystrings,28
piccolo/columns/readable.py,6,1.33,2,8,A,Readable,_columns_string,26
piccolo/engine/cockroach.py,6,1.33,2,8,A,CockroachAtomic,setup_transaction,40
piccolo/schema.py,29,1.34,3,39,A,CreateSchema,run,45
piccolo/apps/tester/commands/run.py,8,1.38,2,11,A,,run_pytest,42
piccolo/query/operators/json.py,9,1.44,3,13,A,GetElementFromPath,__init__,95
piccolo/columns/defaults/base.py,9,1.44,3,13,A,Default,get_postgres_interval_string,24
piccolo/testing/test_case.py,6,1.5,4,9,A,AsyncTransactionTest,asyncSetUp,112
piccolo/query/methods/alter.py,39,1.67,6,65,B,Alter,add_foreign_key_constraint,542
piccolo/query/methods/raw.py,3,1.67,3,5,A,Raw,batch,26
piccolo/engine/sqlite.py,65,1.68,7,109,B,,serialise,101
piccolo/columns/column_types.py,214,1.75,14,375,C,ForeignKey,__getattribute__,2255
piccolo/utils/lazy_loader.py,4,1.75,4,7,A,LazyLoader,_load,22
piccolo/table_reflection.py,18,1.78,4,32,A,TableStorage,_to_list,232
piccolo/query/methods/delete.py,5,1.8,3,9,A,Delete,_validate,42
piccolo/query/methods/objects.py,34,1.88,7,64,B,GetOrCreate,run,63
piccolo/engine/postgres.py,44,1.93,7,85,B,PostgresTransaction,__aexit__,266
piccolo/querystring.py,30,1.97,9,59,B,QueryString,__str__,136
piccolo/query/functions/base.py,1,2.0,2,2,A,Function,__init__,10
piccolo/query/methods/create_index.py,6,2.0,3,12,A,CreateIndex,column_names,29
